Year,Month,Day,Site,SumOfSumVolume
2020,5,28,6,15993
2020,5,29,6,16618
2020,5,30,6,13100
2020,5,31,6,11781
2020,6,1,6,12680
2020,6,2,6,16183
2020,6,3,6,15963
2020,6,4,6,236
2020,1,1,7,9981
2020,1,2,7,15193
2020,1,3,7,17424
2020,1,4,7,13132
2020,1,5,7,11232
2020,1,6,7,18534
2020,1,7,7,19702
2020,1,8,7,20696
2020,1,9,7,22143
2020,1,10,7,22906
2020,1,11,7,16114
2020,1,12,7,13312
2020,1,13,7,21012
2020,1,14,7,22810
2020,1,15,7,20543
2020,1,16,7,22038
2020,1,17,7,23186
2020,1,18,7,16008
2020,1,19,7,14028
2020,1,20,7,22396
2020,1,21,7,23557
2020,1,22,7,23937
2020,1,23,7,23630
2020,1,24,7,23610
2020,1,25,7,16663
2020,1,26,7,13579
2020,1,27,7,20616
2020,1,28,7,22882
2020,1,29,7,22970
2020,1,30,7,23650
2020,1,31,7,23760
2020,2,1,7,19556
2020,2,2,7,13787
2020,2,3,7,20834
2020,2,4,7,18077
2020,2,5,7,18567
2020,2,6,7,18974
2020,2,7,7,18763
2020,2,8,7,14853
2020,2,9,7,9643
2020,2,10,7,17453
2020,2,11,7,18352
2020,2,12,7,18365
2020,2,13,7,18786
2020,2,14,7,18485
2020,2,15,7,12583
2020,2,16,7,9499
2020,2,17,7,16332
2020,2,18,7,18062
2020,2,19,7,17976
2020,2,20,7,18749
2020,2,21,7,18350
2020,2,22,7,11976
2020,2,23,7,9561
2020,2,24,7,16572
2020,2,25,7,17933
2020,2,26,7,18752
2020,2,27,7,19014
2020,2,28,7,19491
2020,2,29,7,12979
2020,3,1,7,10207
2020,3,2,7,17115
2020,3,3,7,18887
2020,3,4,7,18027
2020,3,5,7,19181
2020,3,6,7,19310
2020,3,7,7,12073
2020,3,8,7,9817
2020,3,9,7,17738
2020,3,10,7,17712
2020,3,11,7,18371
2020,3,12,7,17901
2020,3,13,7,15398
2020,3,14,7,7955
2020,3,15,7,6125
2020,3,16,7,11170
2020,3,17,7,5161
2020,3,18,7,10933
2020,3,19,7,10221
2020,3,20,7,10373
2020,3,21,7,5632
2020,3,22,7,4530
2020,3,23,7,8826
2020,3,24,7,9412
2020,3,25,7,8277
2020,3,26,7,8260
2020,3,27,7,9032
2020,3,28,7,3272
2020,3,29,7,2403
2020,3,30,7,5336
2020,3,31,7,4763
2020,4,1,7,4607
2020,4,2,7,4666
2020,4,3,7,4939
2020,4,4,7,2828
2020,4,5,7,2362
2020,4,6,7,4581
2020,4,7,7,4936
2020,4,8,7,4667
2020,4,9,7,4982
2020,4,10,7,3917
2020,4,11,7,2936
2020,4,12,7,2088
2020,4,13,7,2379
2020,4,14,7,4747
2020,4,15,7,4907
2020,4,16,7,4948
2020,4,17,7,5192
2020,4,18,7,3108
2020,4,19,7,2527
2020,4,20,7,4879
2020,4,21,7,5231
2020,4,22,7,5255
2020,4,23,7,5267
2020,4,24,7,5513
2020,4,25,7,3200
2020,4,26,7,2576
2020,4,27,7,5139
2020,4,28,7,5125
2020,4,29,7,5388
2020,4,30,7,5596
2020,5,1,7,5695
2020,5,2,7,3249
2020,5,3,7,2604
2020,5,4,7,2805
2020,5,5,7,5865
2020,5,6,7,5901
2020,5,7,7,6069
2020,5,8,7,6148
2020,5,9,7,3753
2020,5,10,7,2901
2020,5,11,7,5910
2020,5,12,7,6125
2020,5,13,7,6357
2020,5,14,7,6521
2020,5,15,7,6863
2020,5,16,7,3997
2020,5,17,7,3387
2020,5,18,7,7075
2020,5,19,7,7405
2020,5,20,7,7517
2020,5,21,7,7904
2020,5,22,7,7981
2020,5,23,7,4770
2020,5,24,7,3834
2020,5,25,7,7823
2020,5,26,7,8039
2020,5,27,7,8333
2020,5,28,7,8484
2020,5,29,7,8719
2020,5,30,7,4855
2020,5,31,7,3962
2020,6,1,7,4457
2020,6,2,7,8379
2020,6,3,7,8989
2020,6,4,7,84
2020,1,1,8,13810
2020,1,2,8,19016
2020,1,3,8,22224
2020,1,4,8,19145
2020,1,5,8,15802
2020,1,6,8,23459
2020,1,7,8,24817
