SiteID,Site_Description_Cap,Site_Description_Lower,Region,Lat,Long
100,KIMMAGE RD WEST @ WHITEHALL RD,kimmage rd west @ whitehall rd,WCITY1,53.31270554,-6.304874271
102,LEESON PK @ CHELMSFORD RD,leeson pk @ chelmsford rd,SCITY,53.3265364,-6.2503371
103,LEESON ST @ APPIAN WAY/WATERLOO RD & PED AT SUSSEX RD,leeson st @ appian way/waterloo rd & ped at sussex rd,SCITY,53.3283678,-6.2459187
104,LEESON ST BRIDGE / MESPIL RD,leeson st bridge / mespil rd,SCITY,53.33217585,-6.25214273
105,LONG MILE RD @ WALKINSTOWN AV,long mile rd @ walkinstown av,WCITY1,53.3237,-6.341007
106,LUCAN RD @ KYLEMORE RD,lucan rd @ kylemore rd,WCITY1,53.35101882,-6.352857649
107,MALAHIDE RD @ COLLINS AV,malahide rd @ collins av,NCITY,53.375512,-6.218754
108,MALAHIDE RD @ GRIFFITH AV,malahide rd @ griffith av,NCITY,53.368508,-6.22635
109,MALAHIDE RD @ KILMORE RD,malahide rd @ kilmore rd,NCITY,53.389399,-6.197536
110,MALAHIDE RD @ TONLEGEE RD,malahide rd @ tonlegee rd,NCITY,53.3882497,-6.1990515
111,MERRION RD @ AILESBURY RD,merrion rd @ ailesbury rd,SCITY,53.320531,-6.215506524
112,MERRION RD @ ANGLESEA RD & PED @ RDS,merrion rd @ anglesea rd & ped @ rds,SCITY,53.3477329,-6.2437479
113,MERRION RD @ NUTLEY LANE,merrion rd @ nutley lane,SCITY,53.31886422,-6.2129471
114,MERRION RD @ SANDYMOUNT AV,merrion rd @ sandymount av,SCITY,53.3264971,-6.2244579
115,MERRION ROW @ MERRION ST,merrion row @ merrion st,CCITY,53.33825511,-6.25352763
116,MERRION SQ @ HOLLES ST,merrion sq @ holles st,CCITY,53.3394808,-6.2463771
117,MILLTOWN RD @ DUNDRUM RD,milltown rd @ dundrum rd,SCITY,53.31067582,-6.248131342
118,MOREHAMPTON RD @ HERBERT PK,morehampton rd @ herbert pk,SCITY,53.32511941,-6.24093233
119,MOBHI RD @ BOTANIC AV,mobhi rd @ botanic av,NCITY,53.3719405,-6.2667757
120,MOUNT ST BRIDGE @ WARRINGTON PL,mount st bridge @ warrington pl,DCC1,53.3378278,-6.2413344
121,MOUNTJOY SQ @ BELVIDERE PL,mountjoy sq @ belvidere pl,NCITY,53.35739626,-6.25708867
122,MOUNTJOY ST @ WESTERN WAY,mountjoy st @ western way,NCITY,53.3546282,-6.2691197
123,MOUNTPLEASANT AV @ CHARLESTON RD,mountpleasant av @ charleston rd,SCITY,53.323523,-6.260429202
124,NAAS RD @ KYLEMORE RD (LUAS),naas rd @ kylemore rd (luas),WCITY1,53.326971,-6.342872
125,NAVAN RD @ NEPHIN RD,navan rd @ nephin rd,WCITY1,53.36492,-6.308256
126,NICHOLAS ST @ BRIDE RD,nicholas st @ bride rd,SCITY,53.341537,-6.27226
127,NCR @ CABRA RD,ncr @ cabra rd,NCITY,53.36057485,-6.27494165
128,NCR @ BELVIDERE RD,ncr @ belvidere rd,NCITY,53.35911284,-6.25864396
129,NCR @ FITZGIBBON ST,ncr @ fitzgibbon st,NCITY,53.35859295,-6.25482989
130,NCR @ INFIRMARY RD,ncr @ infirmary rd,WCITY1,53.3522589,-6.2973515
131,NORTH RD @ MELLOWES RD,north rd @ mellowes rd,NCITY,53.3899854,-6.2999075
132,NORTH STRAND RD @ EAST WALL RD,north strand rd @ east wall rd,NCITY,53.360634,-6.23904
133,NORTHUMBERLAND RD @ HADDINGTON RD,northumberland rd @ haddington rd,SCITY,53.3358184,-6.23872844
134,NORTHUMBERLAND RD @ PEMBROKE RD,northumberland rd @ pembroke rd,SCITY,53.3329316,-6.2358624
136,ORWELL RD @ ORWELL PK,orwell rd @ orwell pk,WCITY1,53.30694851,-6.269834935
137,PALMERSTON RD @ BELGRAVE RD,palmerston rd @ belgrave rd,SCITY,53.32085621,-6.2595681
138,PARKGATE ST @ INFIRMARY RD,parkgate st @ infirmary rd,CCITY,53.348199,-6.295636
139,PARNELL RD @ CLOGHER RD,parnell rd @ clogher rd,SCITY,53.3304292,-6.2840455
140,PARNELL SQ @ NORTH FREDERICK ST,parnell sq @ north frederick st,NCITY,53.35456624,-6.26316011
141,GARDINER ST @ PARNELL ST / SUMMERHILL AND PED AT RUTLAND ST,gardiner st @ parnell st / summerhill and ped at rutland st,CCITY,53.354212,-6.256897
142,PATRICK ST @ DEAN ST,patrick st @ dean st,SCITY,53.34014,-6.3154101
143,PEARSE ST @ ERNE ST,pearse st @ erne st,CCITY,53.34350367,-6.24470088
144,PEARSE ST @ MACKEN ST,pearse st @ macken st,CCITY,53.34286447,-6.24057898
145,PEARSE ST @ SANDWITH ST,pearse st @ sandwith st,CCITY,53.34348136,-6.24729873
146,PEARSE ST @ WESTLAND ROW & PED AT CHURCH,pearse st @ westland row & ped at church,CCITY,53.34426797,-6.2490803
147,PEMBROKE RD @ SHELBOURNE RD,pembroke rd @ shelbourne rd,SCITY,53.32949201,-6.232952178
148,PHIBSBORO RD @ CONNAUGHT ST & PED AT SHOPPING CENTRE,phibsboro rd @ connaught st & ped at shopping centre,NCITY,53.36265788,-6.2728451
149,NCR @ PHIBSBORO RD (DOYLES CORNER),ncr @ phibsboro rd (doyles corner),NCITY,53.3609009,-6.2726163
150,PHIBSBORO RD @ WHITWORTH RD,phibsboro rd @ whitworth rd,NCITY,53.36461326,-6.27200073
151,NCR @ PRUSSIA ST (HANLONS CORNER),ncr @ prussia st (hanlons corner),WCITY1,53.357216,-6.288761
152,QUEEN ST BRIDGE,queen st bridge,CCITY,53.346344,-6.280405
